ticker,name,asset_type,sector,industry,market,is_active,benchmark,market_cap,bond_yield,duration
GOOGL,Alphabet Inc.,stock,Communication Services,Interactive Media & Services,US,True,SPY,4166206726165.772,,
GOOG,Alphabet Inc.,stock,Communication Services,Interactive Media & Services,US,False,SPY,4141045128601.074,,
META,"Meta Platforms, Inc.",stock,Communication Services,Interactive Media & Services,US,True,SPY,1713511957266.9902,,
EA,Electronic Arts Inc.,stock,Communication Services,Interactive Home Entertainment,US,True,SPY,50718919555.481766,,
TTWO,"Take-Two Interactive Software, Inc.",stock,Communication Services,Interactive Home Entertainment,US,True,SPY,39025727352.0,,
LYV,"Live Nation Entertainment, Inc.",stock,Communication Services,Movies & Entertainment,US,True,SPY,36829950251.5312,,
TKO,"TKO Group Holdings, Inc.",stock,Communication Services,Movies & Entertainment,US,True,SPY,13981471014.5,,
PSKY,Paramount Skydance Corporation,stock,Communication Services,Movies & Entertainment,US,True,SPY,12195800262.596905,,
TTD,"The Trade Desk, Inc.",stock,Communication Services,Advertising,US,True,SPY,11409169489.7625,,
AMZN,"Amazon.com, Inc.",stock,Consumer Discretionary,Broadline Retail,US,True,SPY,2839014827396.0195,,
TSLA,"Tesla, Inc.",stock,Consumer Discretionary,Automobile Manufacturers,US,True,SPY,1413278846811.0613,,
HD,"The Home Depot, Inc.",stock,Consumer Discretionary,Home Improvement Retail,US,True,SPY,334555744635.8689,,
YUM,"Yum! Brands, Inc.",stock,Consumer Discretionary,Restaurants,US,True,SPY,44306220898.96088,,
EBAY,eBay Inc.,stock,Consumer Discretionary,Broadline Retail,US,True,SPY,43877121093.75,,
CCL,Carnival Corporation & plc,stock,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",US,True,SPY,37634242412.76776,,
MGM,MGM Resorts International,stock,Consumer Discretionary,Casinos & Gaming,US,True,SPY,10115459875.478004,,
POOL,Pool Corporation,stock,Consumer Discretionary,Distributors,US,True,SPY,8534720921.201294,,
NCLH,Norwegian Cruise Line Holdings Ltd.,stock,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",US,True,SPY,8432149919.176123,,
WMT,Walmart Inc.,stock,Consumer Staples,Consumer Staples Merchandise Retail,US,True,SPY,1035591073113.4803,,
COST,Costco Wholesale Corporation,stock,Consumer Staples,Consumer Staples Merchandise Retail,US,True,SPY,448599276652.3608,,
PG,The Procter & Gamble Company,stock,Consumer Staples,Personal Care Products,US,True,SPY,346257160176.0723,,
KMB,Kimberly-Clark Corporation,stock,Consumer Staples,Household Products,US,True,SPY,32478935696.621475,,
CASY,"Casey's General Stores, Inc.",stock,Consumer Staples,Food Retail,US,True,SPY,29636865827.67279,,
EL,EL,stock,Consumer Staples,Personal Care Products,US,True,SPY,28149598375.869667,,
TAP,Molson Coors Beverage Company,stock,Consumer Staples,Brewers,US,True,SPY,7990828297.829475,,
CAG,"Conagra Brands, Inc.",stock,Consumer Staples,Packaged Foods & Meats,US,True,SPY,6779454537.021858,,
CPB,The Campbell's Company,stock,Consumer Staples,Packaged Foods & Meats,US,True,SPY,6147780832.77449,,
XOM,Exxon Mobil Corporation,stock,Energy,Integrated Oil & Gas,US,True,SPY,618953277709.4252,,
CVX,Chevron Corporation,stock,Energy,Integrated Oil & Gas,US,True,SPY,368919590306.554,,
COP,ConocoPhillips,stock,Energy,Oil & Gas Exploration & Production,US,True,SPY,148407548875.911,,
PSX,Phillips 66,stock,Energy,Oil & Gas Refining & Marketing,US,True,SPY,65300017391.75351,,
OXY,Occidental Petroleum Corporation,stock,Energy,Oil & Gas Exploration & Production,US,True,SPY,56645627679.47527,,
OKE,"ONEOK, Inc.",stock,Energy,Oil & Gas Storage & Transportation,US,True,SPY,55127679600.0,,
CTRA,Coterra Energy Inc.,stock,Energy,Oil & Gas Exploration & Production,US,True,SPY,25461092388.125885,,
EXE,Expand Energy Corporation,stock,Energy,Oil & Gas Exploration & Production,US,True,SPY,23184008781.30981,,
APA,APA Corporation,stock,Energy,Oil & Gas Exploration & Production,US,True,SPY,13333797458.446129,,
BRK-B,Berkshire Hathaway Inc.,stock,Financials,Multi-Sector Holdings,US,True,SPY,1012262722903.7952,,
JPM,JPMorgan Chase & Co.,stock,Financials,Diversified Banks,US,True,SPY,826036256729.126,,
V,Visa Inc.,stock,Financials,Transaction & Payment Processing Services,US,True,SPY,596574039230.6237,,
FITB,Fifth Third Bancorp,stock,Financials,Regional Banks,US,True,SPY,44983170041.78238,,
XYZ,"Block, Inc.",stock,Financials,Transaction & Payment Processing Services,US,True,SPY,43527042280.99823,,
MSCI,MSCI Inc.,stock,Financials,Financial Exchanges & Data,US,True,SPY,43104916680.0376,,
IVZ,Invesco Ltd.,stock,Financials,Asset Management & Custody Banks,US,True,SPY,11334438226.485296,,
JKHY,"Jack Henry & Associates, Inc.",stock,Financials,Transaction & Payment Processing Services,US,True,SPY,10939803211.195038,,
FDS,FactSet Research Systems Inc.,stock,Financials,Financial Exchanges & Data,US,True,SPY,8164944005.353638,,
LLY,Eli Lilly and Company,stock,Health Care,Pharmaceuticals,US,True,SPY,789692244612.6355,,
JNJ,Johnson & Johnson,stock,Health Care,Pharmaceuticals,US,True,SPY,547641860902.5,,
ABBV,AbbVie Inc.,stock,Health Care,Biotechnology,US,True,SPY,351470783808.9057,,
BDX,"Becton, Dickinson and Company",stock,Health Care,Health Care Equipment,US,True,SPY,43278755957.375336,,
A,"Agilent Technologies, Inc.",stock,Health Care,Life Sciences Tools & Services,US,True,SPY,32654698591.78383,,
RMD,ResMed Inc.,stock,Health Care,Health Care Equipment,US,True,SPY,32027397349.0004,,
HSIC,"Henry Schein, Inc.",stock,Health Care,Health Care Distributors,US,True,SPY,8897563979.594978,,
TECH,Bio-Techne Corporation,stock,Health Care,Life Sciences Tools & Services,US,True,SPY,8478203678.6241,,
