date,GOOGL,GOOG,META,EA,TTWO,LYV,TKO,PSKY,TTD,AMZN,TSLA,HD,YUM,EBAY,CCL,MGM,POOL,NCLH,WMT,COST,PG,KMB,CASY,EL,TAP,CAG,CPB,XOM,CVX,COP,PSX,OXY,OKE,CTRA,EXE,APA,BRK-B,JPM,V,FITB,XYZ,MSCI,IVZ,JKHY,FDS,LLY,JNJ,ABBV,BDX,A,RMD,HSIC,TECH,CRL,CAT,GEV,GE,FAST,CARR,ODFL,SWK,BLDR,AOS,NVDA,AAPL,MSFT,CIEN,MSI,TER,IT,SWKS,EPAM,LIN,NEM,FCX,DOW,PPG,LYB,BALL,AVY,MOS,WELL,PLD,EQIX,AVB,EQR,SBAC,FRT,BXP,ARE,NEE,CEG,SO,PCG,NRG,AEE,LNT,PNW,AES,GLD,SLV,CPER,USO,TLT,IEF,LQD,HYG,SPY,QQQ,035420,035720,017670,028260,000720,047040,005380,000270,012330,015760,033780,278470,034730,051910,267250,105560,032830,055550,207940,068270,0126Z0,034020,329180,267260,005930,000660,402340,373220,012450,010120,010130,005490,004020,069500
2021-04-22,24146000.0,21096000.0,16375400.0,2498500.0,993200.0,3544900.0,1339600.0,60658800.0,6987000.0,51612000.0,106770900.0,4875000.0,829600.0,6849100.0,29698400.0,8846700.0,849700.0,24943700.0,19705200.0,2138000.0,7338300.0,2282700.0,98800.0,778200.0,1587900.0,2084400.0,1707300.0,21600100.0,9899400.0,6582700.0,2625700.0,16448500.0,3364400.0,6452700.0,1098600.0,8087000.0,3732100.0,15256100.0,7303000.0,5515000.0,12730800.0,325000.0,4477000.0,714800.0,263700.0,2982600.0,7233000.0,5046000.0,1273161.0,1732700.0,327300.0,1029700.0,719200.0,369400.0,2410700.0,0.0,10555051.0,6763200.0,6473400.0,2113400.0,856800.0,1977100.0,942900.0,277788000.0,84566500.0,25606200.0,886600.0,513100.0,1409200.0,535800.0,1366900.0,313600.0,930300.0,4785800.0,23923800.0,12028900.0,1243000.0,1952800.0,1357600.0,639200.0,3831600.0,1862100.0,2088300.0,336600.0,925600.0,1688200.0,458900.0,787000.0,1595200.0,685200.0,8261700.0,0.0,3975400.0,13701200.0,2930700.0,1308200.0,938700.0,444300.0,4960600.0,7680100.0,25916400.0,159300.0,3278100.0,14156400.0,7681300.0,16487100.0,18506500.0,97582800.0,45936100.0,394350.0,2279180.0,1672019.0,520938.0,992558.0,3289961.0,1025922.0,2732990.0,300937.0,2447421.0,455878.0,0.0,363684.0,201220.0,213028.0,1880677.0,433687.0,1463398.0,95719.0,887638.0,0.0,3579910.0,0.0,217697.0,13934746.0,3007457.0,0.0,0.0,344758.0,631720.0,144277.0,443997.0,659670.0,6635732.0
2021-04-23,29066000.0,28670000.0,17536800.0,2365300.0,1125200.0,1315100.0,1083100.0,40878500.0,4460000.0,63856000.0,85110000.0,3405700.0,1097600.0,5072900.0,19297600.0,4217900.0,348400.0,15296600.0,22971000.0,1404500.0,6708300.0,8340700.0,107500.0,717500.0,1486100.0,2687300.0,1938500.0,15337900.0,6756000.0,5670100.0,1992800.0,10825300.0,4133200.0,7298800.0,471700.0,5749100.0,3684100.0,14041900.0,5345200.0,6741600.0,8459800.0,434900.0,4125900.0,522100.0,1450500.0,2482800.0,6015300.0,4611000.0,1997422.0,1495200.0,280500.0,1194100.0,516800.0,304800.0,3458300.0,0.0,9357311.0,4465800.0,6615300.0,1575400.0,1030900.0,1378700.0,743100.0,227500000.0,78657500.0,21462600.0,886700.0,540600.0,1257500.0,603400.0,2426700.0,201700.0,1290600.0,4877800.0,22558300.0,5682300.0,1143200.0,1244800.0,1220100.0,407500.0,3218300.0,1553000.0,1749800.0,366300.0,564900.0,2009000.0,667400.0,620500.0,798800.0,520400.0,6034900.0,0.0,3885800.0,14592700.0,1914200.0,962200.0,983800.0,505500.0,3297100.0,7106400.0,18439900.0,236700.0,4206300.0,12302200.0,5509900.0,15170600.0,14388700.0,73209200.0,36381900.0,505140.0,2473720.0,1657958.0,436026.0,1337708.0,3455689.0,1202196.0,4508754.0,746419.0,1455130.0,334636.0,0.0,251396.0,210739.0,159607.0,3587027.0,320821.0,3010796.0,49343.0,599623.0,0.0,2231279.0,0.0,179712.0,17805080.0,4854412.0,0.0,0.0,387416.0,586850.0,88849.0,326287.0,1695010.0,4457988.0
2021-04-26,32038000.0,20834000.0,16172600.0,1749200.0,759600.0,1027000.0,860400.0,30501300.0,4315000.0,97614000.0,93115500.0,2848500.0,2121100.0,4539300.0,20033500.0,4853900.0,327400.0,14880100.0,22846200.0,2059700.0,9910600.0,4150700.0,141400.0,833900.0,1440100.0,2448100.0,3295200.0,16083800.0,5639700.0,6642400.0,1582100.0,12515600.0,2641300.0,5114500.0,380100.0,8056800.0,3569100.0,10799100.0,5650000.0,3979000.0,8494400.0,474800.0,3575200.0,442000.0,435300.0,2797500.0,6027800.0,5202300.0,1391415.0,1287400.0,515300.0,652300.0,745600.0,288900.0,1864800.0,0.0,18815482.0,4425400.0,4019400.0,1251200.0,848600.0,1791100.0,1440000.0,197796000.0,66905100.0,19763300.0,1523100.0,527900.0,1212700.0,528700.0,3746800.0,350800.0,906300.0,4052700.0,27041600.0,4871600.0,1076800.0,1135900.0,1005000.0,570900.0,4674400.0,1026500.0,1584400.0,266000.0,613500.0,1609200.0,560400.0,667400.0,1124000.0,565800.0,7425100.0,0.0,3924700.0,17830700.0,2121500.0,808000.0,769000.0,610100.0,3420100.0,4786600.0,11054500.0,365700.0,3150900.0,9103500.0,7145300.0,10915200.0,12746100.0,52182400.0,30812000.0,484369.0,1729458.0,1432823.0,803929.0,1524532.0,4002909.0,653982.0,2166439.0,834275.0,2481461.0,366931.0,0.0,284298.0,219608.0,1146567.0,3707157.0,1024537.0,2813536.0,43023.0,824350.0,0.0,2003123.0,0.0,207968.0,15489938.0,2904879.0,0.0,0.0,245391.0,632240.0,60090.0,475237.0,1714942.0,4993115.0
2021-04-27,44386000.0,31972000.0,15309300.0,2159500.0,1067600.0,923000.0,382800.0,33759800.0,5373000.0,76542000.0,88311000.0,3335800.0,1082000.0,5577600.0,18145200.0,6999300.0,290700.0,11057100.0,16151400.0,1875900.0,8296800.0,3671100.0,115600.0,1043300.0,1448600.0,3169700.0,2488200.0,19278600.0,6898900.0,8309600.0,1955100.0,13876000.0,2752300.0,5342800.0,721700.0,6841300.0,3173400.0,12821200.0,6642100.0,4453500.0,6791500.0,409600.0,4742200.0,531400.0,291600.0,6838700.0,6217700.0,3522900.0,1373814.0,1752900.0,530000.0,721100.0,445600.0,291000.0,1959300.0,0.0,30050351.0,5002400.0,6740600.0,1026600.0,918800.0,1338000.0,1335400.0,164572000.0,66015800.0,31014200.0,1381600.0,645200.0,1776500.0,386400.0,2057800.0,291700.0,1199800.0,4396100.0,19766600.0,3781300.0,1598800.0,792500.0,757000.0,1075800.0,9011400.0,1715000.0,2366600.0,271500.0,506900.0,2088500.0,1037300.0,966100.0,904400.0,695500.0,5871900.0,0.0,2967900.0,17897600.0,2256500.0,735900.0,985300.0,625300.0,2982300.0,5363500.0,12866200.0,455100.0,3454400.0,14137300.0,7720500.0,10418200.0,17660600.0,51303100.0,33187200.0,392509.0,5332544.0,1119579.0,474317.0,1120492.0,3919062.0,763634.0,2079110.0,987898.0,6186715.0,294049.0,0.0,298269.0,404010.0,769703.0,1248421.0,1036122.0,2013900.0,35789.0,1545946.0,0.0,3646002.0,0.0,671869.0,12941533.0,3394650.0,0.0,0.0,470682.0,800030.0,59398.0,734422.0,5322376.0,4985652.0
2021-04-28,81106000.0,59728000.0,33907200.0,1453500.0,1150400.0,899700.0,242200.0,27913200.0,4003000.0,92638000.0,66813000.0,2713400.0,1789700.0,7814100.0,17273000.0,8148600.0,206200.0,11900800.0,14286600.0,1305600.0,6262800.0,3156000.0,127100.0,855500.0,2266600.0,2578600.0,1971200.0,24729800.0,8718400.0,8897100.0,2670500.0,20741000.0,4328600.0,5719300.0,599700.0,8665600.0,3176000.0,8943700.0,10111400.0,4880400.0,6140700.0,288400.0,3749100.0,335000.0,224700.0,4682800.0,7448000.0,5116000.0,1087369.0,1603900.0,311900.0,760400.0,478400.0,288600.0,2965300.0,0.0,13261158.0,3868800.0,6560200.0,992200.0,1779300.0,1126500.0,1054300.0,209416000.0,107760100.0,46903100.0,1589700.0,524800.0,2672700.0,372800.0,1538700.0,302200.0,1366300.0,5609200.0,18574600.0,5584300.0,1211200.0,1284900.0,1135300.0,1188200.0,6084300.0,2318300.0,2249500.0,403900.0,1043900.0,1747400.0,474400.0,1308100.0,1394800.0,569100.0,5522200.0,0.0,3610200.0,20286300.0,2472300.0,630500.0,1309100.0,649700.0,3352200.0,6932200.0,20534500.0,258800.0,5500900.0,15263700.0,8692900.0,15731100.0,14795000.0,51238900.0,33615700.0,485971.0,2276272.0,1157316.0,1192731.0,1724471.0,6536266.0,701452.0,1708173.0,430974.0,3323511.0,426978.0,0.0,302504.0,341070.0,1173545.0,1400194.0,910762.0,2598813.0,49674.0,1577140.0,0.0,6676927.0,0.0,1010255.0,15596759.0,5596760.0,0.0,0.0,415156.0,491435.0,63979.0,545333.0,3870822.0,4125335.0
2021-04-29,41234000.0,39554000.0,56526800.0,1698700.0,940200.0,822500.0,379000.0,22505200.0,6907000.0,153648000.0,86536200.0,3261900.0,2055800.0,31082000.0,40714900.0,9734900.0,222000.0,26778600.0,19596000.0,1848300.0,6786800.0,3110300.0,102300.0,1162200.0,4584900.0,3249900.0,1581700.0,27318400.0,9740300.0,9446900.0,2814500.0,18230000.0,2918900.0,5531800.0,1033800.0,6427700.0,4540300.0,12976900.0,7411400.0,7776600.0,6592800.0,287300.0,3011500.0,500700.0,144700.0,2432500.0,6394300.0,6766700.0,1537832.0,2135900.0,424200.0,934600.0,517600.0,205700.0,5442400.0,0.0,11066635.0,5490800.0,9151900.0,666000.0,1022500.0,1587900.0,1692200.0,173196000.0,151101000.0,40589000.0,1112800.0,453500.0,1216100.0,368200.0,3336000.0,358200.0,1290400.0,8363300.0,18860200.0,4366000.0,755000.0,1177800.0,962700.0,547700.0,6251700.0,1814000.0,1751600.0,503400.0,695600.0,3295500.0,513300.0,575000.0,796100.0,640300.0,5558700.0,0.0,5034800.0,18990300.0,1826100.0,1007800.0,2016500.0,991300.0,5413800.0,9067600.0,23251500.0,306200.0,5920400.0,17178200.0,5547800.0,11697300.0,17152900.0,78544300.0,37708900.0,743106.0,3445462.0,1673543.0,2039950.0,1893060.0,27493195.0,1047837.0,3276054.0,697034.0,3591778.0,356717.0,0.0,259674.0,1405704.0,692623.0,1127318.0,558159.0,1435607.0,45371.0,1191987.0,0.0,3628390.0,0.0,2147009.0,20000973.0,3738266.0,0.0,0.0,204617.0,448995.0,313326.0,629282.0,3039515.0,5405783.0
2021-04-30,44856000.0,39142000.0,26332400.0,2551400.0,672100.0,943200.0,992600.0,20587400.0,4556000.0,140186000.0,122276100.0,3118700.0,1863900.0,10069300.0,21653500.0,6054500.0,211700.0,18344000.0,19680000.0,2118900.0,9188600.0,3209000.0,210600.0,1637400.0,2946000.0,2882600.0,1893600.0,30518400.0,13730000.0,9448200.0,3061400.0,14842900.0,2695500.0,11212300.0,766100.0,8839500.0,5212400.0,11705100.0,10260200.0,7236300.0,6188300.0,379400.0,4745000.0,527700.0,280600.0,3103900.0,9079100.0,10575400.0,2246839.0,1514200.0,1525900.0,1516300.0,680000.0,242900.0,3953500.0,0.0,10011667.0,10394000.0,7279100.0,936600.0,1457000.0,1992000.0,2278900.0,201912000.0,109839500.0,30945100.0,2128000.0,729400.0,1689000.0,433200.0,7121100.0,352400.0,1932700.0,5186000.0,13696400.0,4932300.0,1777000.0,1511400.0,1243700.0,683000.0,4739700.0,2734300.0,3323100.0,669800.0,714900.0,1872900.0,549700.0,1786300.0,1369000.0,753100.0,8024600.0,0.0,5414000.0,17878000.0,2659300.0,1347900.0,1653100.0,1348600.0,5369000.0,6248700.0,16806800.0,280200.0,5007000.0,15692000.0,5160000.0,11860200.0,23367500.0,85527000.0,38263400.0,1028215.0,4405688.0,1691655.0,707549.0,2635695.0,10263174.0,1168115.0,3165897.0,494025.0,3035926.0,425902.0,0.0,208033.0,657252.0,908804.0,1817453.0,543996.0,2465742.0,44181.0,803500.0,0.0,3538966.0,0.0,1452803.0,18673197.0,3955947.0,0.0,0.0,195343.0,589710.0,136918.0,499655.0,2681652.0,5225663.0
2021-05-03,28242000.0,33788000.0,18719500.0,2242800.0,1198300.0,942200.0,650900.0,34064100.0,5019000.0,117510000.0,81129300.0,3683700.0,1087200.0,12472600.0,21866600.0,4646200.0,279000.0,15661500.0,27139500.0,2685800.0,8070300.0,2006300.0,134900.0,5039900.0,2755900.0,2894500.0,1786800.0,20509600.0,7938100.0,9325100.0,3078200.0,13380900.0,2526300.0,10325100.0,870300.0,5872100.0,5184000.0,11801100.0,8174400.0,4009000.0,5268800.0,235800.0,3390600.0,531800.0,181900.0,3197000.0,6594100.0,9138200.0,1276290.0,1032000.0,1279200.0,2181800.0,684800.0,418200.0,3182900.0,0.0,12734908.0,6107200.0,3928800.0,1039600.0,1851800.0,2009800.0,1760800.0,203912000.0,75135100.0,19626600.0,1068400.0,737100.0,1061500.0,472600.0,4208100.0,413900.0,974900.0,5898800.0,22861600.0,6327800.0,654200.0,1875300.0,993900.0,603300.0,6731700.0,2119300.0,2038000.0,469600.0,555000.0,1641400.0,498700.0,529500.0,909100.0,780700.0,6076000.0,0.0,3764600.0,21193100.0,2260200.0,1179800.0,1673400.0,1126100.0,5982100.0,9014700.0,36331500.0,287400.0,3309500.0,16447700.0,8593300.0,9029900.0,15782400.0,68128300.0,29729700.0,507361.0,2832622.0,1205305.0,843027.0,1444328.0,6205270.0,1189242.0,3400379.0,533637.0,2331313.0,426053.0,0.0,165240.0,344795.0,693299.0,1295837.0,1849657.0,1697898.0,71925.0,2220296.0,0.0,6820747.0,0.0,1041939.0,15710336.0,4085398.0,0.0,0.0,316952.0,508650.0,77265.0,361870.0,1633746.0,5322997.0
2021-05-04,44818000.0,35120000.0,24032600.0,2511900.0,1469500.0,1587600.0,605300.0,20480800.0,6144000.0,108788000.0,89217900.0,3954400.0,1594300.0,9736900.0,33649300.0,5918800.0,232900.0,19390800.0,19084200.0,2133800.0,9624000.0,2046300.0,105100.0,3272600.0,2597400.0,3208200.0,1535200.0,23522200.0,8704300.0,12834300.0,2867600.0,15044700.0,2206200.0,7793600.0,772200.0,9097600.0,4465500.0,12977700.0,5884500.0,6043100.0,9123600.0,338200.0,3620100.0,1335500.0,204000.0,3703500.0,10179500.0,8151400.0,1299497.0,1752400.0,929900.0,2272700.0,673200.0,652900.0,4040700.0,0.0,15557003.0,6505000.0,9900900.0,1160800.0,1904300.0,2182300.0,1041500.0,405324000.0,137564700.0,32756100.0,2140600.0,580400.0,1362200.0,2727100.0,3334400.0,524800.0,2301700.0,5960300.0,26489200.0,7367200.0,1945900.0,2590100.0,1738100.0,674600.0,11673300.0,1432100.0,2704400.0,676800.0,606500.0,2865100.0,583200.0,573300.0,794800.0,637300.0,9178300.0,0.0,3815300.0,18482700.0,3627600.0,1082400.0,1167100.0,992700.0,8082200.0,10267400.0,37719400.0,430000.0,5357600.0,18639700.0,11171000.0,14006800.0,23089700.0,101591200.0,65147000.0,398383.0,2228466.0,3027907.0,394566.0,1195606.0,4606852.0,953550.0,2056168.0,426081.0,2316099.0,443536.0,0.0,353916.0,297052.0,461374.0,969843.0,776386.0,1214423.0,65405.0,2101883.0,0.0,5542156.0,0.0,898450.0,12532550.0,2547004.0,0.0,0.0,384405.0,795330.0,67084.0,480208.0,1371469.0,4606050.0
2021-05-05,26636000.0,21806000.0,15577600.0,2126700.0,1084000.0,1591700.0,481500.0,24750100.0,5312000.0,74226000.0,65705700.0,3227200.0,1428400.0,7002800.0,25678100.0,7131500.0,332500.0,14595900.0,18351000.0,1905300.0,8295900.0,1991300.0,96400.0,2690200.0,1449300.0,3406000.0,2311300.0,31526200.0,12872400.0,12715300.0,2899900.0,19853100.0,2548200.0,7456400.0,1923400.0,7554500.0,4348100.0,10506700.0,6523200.0,3622500.0,6661000.0,270100.0,2994400.0,740900.0,347400.0,4274400.0,7792300.0,7021400.0,2237712.0,1430600.0,755900.0,1776200.0,932800.0,669100.0,3690600.0,0.0,11168297.0,7180400.0,6946100.0,745600.0,1541700.0,2406500.0,1183400.0,292024000.0,84000900.0,21901300.0,1372300.0,759100.0,1160900.0,1689500.0,1925500.0,295000.0,1763500.0,5450800.0,37185800.0,7467100.0,994100.0,1850300.0,1373100.0,805800.0,7062800.0,1738400.0,2512000.0,472900.0,739100.0,1971900.0,581700.0,696600.0,1150800.0,1087700.0,10643200.0,0.0,4259400.0,13178000.0,3665100.0,908000.0,1264800.0,1565900.0,8271700.0,5950000.0,7161100.0,225600.0,6912400.0,11127900.0,6810000.0,5722300.0,13676300.0,60162200.0,46219300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
