,GOOGL,GOOG,META,EA,TTWO,LYV,TKO,PSKY,TTD,AMZN,TSLA,HD,YUM,EBAY,CCL,MGM,POOL,NCLH,WMT,COST,PG,KMB,CASY,EL,TAP,CAG,CPB,XOM,CVX,COP,PSX,OXY,OKE,CTRA,EXE,APA,BRK-B,JPM,V,FITB,XYZ,MSCI,IVZ,JKHY,FDS,LLY,JNJ,ABBV,BDX,A,RMD,HSIC,TECH,CRL,CAT,GEV,GE,FAST,CARR,ODFL,SWK,BLDR,AOS,NVDA,AAPL,MSFT,CIEN,MSI,TER,IT,SWKS,EPAM,LIN,NEM,FCX,DOW,PPG,LYB,BALL,AVY,MOS,WELL,PLD,EQIX,AVB,EQR,SBAC,FRT,BXP,ARE,NEE,CEG,SO,PCG,NRG,AEE,LNT,PNW,AES,GLD,SLV,CPER,USO,TLT,IEF,LQD,HYG,SPY,QQQ,035420,035720,017670,028260,000720,047040,005380,000270,012330,015760,033780,278470,034730,051910,267250,105560,032830,055550,207940,068270,0126Z0,034020,329180,267260,005930,000660,402340,373220,012450,010120,010130,005490,004020,069500
GOOGL,1.0,0.9952479772503886,0.5613892813501817,0.23336448202773888,0.3326020473288326,0.3535166018113245,0.1742668327667923,0.18078949962909632,0.39391787327321237,0.6175307371839388,0.4176257729079238,0.33267204148328006,0.23778227680722736,0.29802524815233,0.3908659246130208,0.36424589435031696,0.3149646345524085,0.3586114321190835,0.18128828116333767,0.34337589326192186,0.11435085357917679,0.012963150195634127,0.18827904720162128,0.34305220246121404,0.10128729146182734,-0.018644564239128643,-0.04486371968887135,0.07922523575339561,0.14527369920904992,0.1342829503047281,0.12832635239259255,0.1394658035844223,0.22224128998414222,0.12565666581541138,0.17274800934577178,0.20089350958160626,0.33291115742570004,0.3325939892572475,0.3830433478569006,0.29221804452239364,0.4746372709806167,0.4175954519793,0.40273751250776424,0.23735033646752607,0.25759676616014626,0.17021803822881887,0.06753002277739778,0.06729623898979871,0.16648000740808822,0.3715482705690407,0.31403386384160253,0.2218292329467131,0.35077622434376327,0.3124960624591476,0.3005526144346885,0.3349344391619049,0.34097801188304133,0.3519644764757559,0.3364350975622532,0.33029738902273587,0.3332264960614423,0.3059815221816349,0.28762171849632306,0.5240737213543671,0.5705831701227626,0.6083299026694448,0.344051918456559,0.3405779109098868,0.45588565950203025,0.31545175070694265,0.4274100912293686,0.3018463164854951,0.33660675496998543,0.1391135617570308,0.3422944072245024,0.2182457637128318,0.34168305780415914,0.1911496532089006,0.246921437978304,0.3523810434149259,0.16365522970363386,0.22025218120823917,0.334019633439417,0.31605827226956285,0.2624816374102825,0.27799295246733424,0.15410006096823145,0.2901876266444536,0.274434554636579,0.25112853627284604,0.1773043712822346,0.2712015927917263,0.069829549982429,0.20712733328487917,0.28052931048187124,0.08981553107032433,0.09794709852103511,0.09102173922980258,0.25148675064333337,0.10157266087220854,0.17588259643406318,0.20727704789815937,0.045009911102256446,0.0407189025614468,0.054825308031885796,0.25762712588170456,0.5260926267735417,0.6884093372724435,0.7401444975461511,0.05877385998319715,0.013583370849571721,0.01634434045709402,0.07579294608813947,0.03931871512015968,0.029277171951173755,0.06364824262682815,0.0643102372496798,0.04789653262725045,0.01923477354129029,0.02579760013119737,0.02315892604091291,0.03633005049689622,0.03071918908423573,0.05039344754248717,0.06275665103063352,0.017485035243966014,0.040923505819102375,0.04585228446130023,-0.01983589381947915,0.003919963264757637,0.04088367649330748,0.05009955843919219,0.03053334971276907,0.07209774722668977,0.07588671355254209,0.07330053852651412,-0.01595643105875259,0.0045580245652188465,0.04144333528040691,0.028520314024330518,0.03450966042200692,0.040469298435423295,0.0882340323671716
GOOG,0.9952479772503886,1.0,0.5628022081662827,0.23516043817174087,0.3349637108221914,0.35880366071850334,0.17518424317545628,0.18646828857518558,0.39818196840040887,0.621315532165442,0.41972783341549447,0.3378065050717455,0.24073035750218358,0.30230229665732833,0.39637535550384206,0.36772555499874326,0.3224145013669219,0.3634275777620614,0.18509043750153928,0.3467117558149476,0.11415828670679247,0.010140630074980743,0.1939982056827987,0.3444390245235447,0.1071605109283347,-0.018358933618995585,-0.047360741711773756,0.0799241419804582,0.14585399854553704,0.13288332171789424,0.12803901744340324,0.14125632361495719,0.22618846741487875,0.1267716775698497,0.17170753470538733,0.2014292674692694,0.33788536883061165,0.3325396648950686,0.38738465815234896,0.2964731106432025,0.4783442843419697,0.4209735882789069,0.40705173158142893,0.24036276297434214,0.25680369942583914,0.16809625201617368,0.06409505132875296,0.06803340228815255,0.16863565846033604,0.3706842226229052,0.3115630682618601,0.22089748381420676,0.3518974052613619,0.3132464793010952,0.3009200174551888,0.3374341065047202,0.33730712969809173,0.35534856331596754,0.3368520628519941,0.3304883736989673,0.3377017219893604,0.3109943544967428,0.28739081193041327,0.5253298469340439,0.5725732831114922,0.6097579084357702,0.3440671558312518,0.34203246167268114,0.45524108173281247,0.31604163083105286,0.4286249997242107,0.30559452783685426,0.336822641237414,0.1386282814807241,0.34112992841895057,0.22114142377842413,0.34502056395687053,0.19267254805439457,0.2499646087084272,0.3579092454063791,0.16186035050007364,0.22307522803558838,0.336823859314028,0.3179079771995284,0.26511934249246183,0.2815130021722009,0.15968269246079217,0.295279371669076,0.27778890779231363,0.2547030872956646,0.1805984978504725,0.2711317141089118,0.07108027244928203,0.20910718127051403,0.27968852715081577,0.09277771470611916,0.1020468688574891,0.09519952465491396,0.2556235341930037,0.09974633364636888,0.17447448123333728,0.2078311681566812,0.04550688222049848,0.044432514397472304,0.0574734503563265,0.26162087270091716,0.5297800142266785,0.6907151706581649,0.7426402267625477,0.055597359874370506,0.010849005424121275,0.01191897474790876,0.07384907799927885,0.03365821834622116,0.023653399948914598,0.06449611967693615,0.06685927016757236,0.048532584620002234,0.01797484809166302,0.026302213333263328,0.020677338472794765,0.034309155838582316,0.031134331566099786,0.049735546590291634,0.06369910477246296,0.015278513744259484,0.03870359420760429,0.04919764762013469,-0.017423758475329815,-0.005884502816586869,0.04203921185440055,0.05057741498460398,0.027981713992720387,0.0685832088682426,0.07494906369051195,0.07164959522609485,-0.012621513285406864,0.005900283851331758,0.03811618255199088,0.027284950573735412,0.03494646691534257,0.03664723572762731,0.08575666680732676
META,0.5613892813501817,0.5628022081662827,1.0,0.19502261747845043,0.31862601242211164,0.35160223587948414,0.22009419520528722,0.2066466807928811,0.43523980469830276,0.5954107593627362,0.34571193155375113,0.34152539393493136,0.21218016201907908,0.33327681976392753,0.38477187743256547,0.34501229588594656,0.3435984986340169,0.3672558617821365,0.17213391589815535,0.335435801889069,0.09753251040372739,0.02677779079426268,0.15804515924290696,0.2940338888759081,0.08084711356789893,-0.01787936154172822,-0.05105208791631115,0.05521561839648989,0.11014164550799949,0.09089628661365433,0.14428407954122807,0.10299744073583446,0.20864303026048733,0.09862668495720693,0.13541570219620758,0.14381798610714702,0.2892905428439978,0.3137890500410707,0.3693388845962478,0.29334797480254515,0.4603092208183182,0.37273148551780827,0.38430340576429417,0.18324288372603062,0.21899837716956932,0.18081705256308286,0.008358130920494377,0.043457647234481596,0.0786310503174966,0.33316973543084927,0.2363979796109577,0.17870111286122622,0.2957723417054213,0.29804557224745465,0.2478539571438575,0.36603574147462425,0.34252550379416713,0.30581255748293285,0.34182097242207604,0.34210777720963126,0.35124085220415924,0.3337037534564712,0.2640508980281586,0.49567691181248263,0.47415543987637093,0.5567270524752026,0.3017564628145806,0.2734012115935863,0.3938436561243713,0.3088937772075053,0.3972063632090079,0.3124632662233162,0.326047451732483,0.06986800838220925,0.30836027485847795,0.20527191699090586,0.3363618178050101,0.1741752944919708,0.2344562203959349,0.326936036409097,0.14745532998482233,0.21513179421860806,0.29296242701580366,0.28452418275505037,0.2431563911625039,0.2520057665402111,0.12825052659937838,0.2799048138464821,0.2668719370673072,0.24016500543838007,0.14221962368027868,0.2516430877585741,0.022407086896853886,0.16798139515593138,0.28312932687002246,0.0475078019075265,0.036574225260538946,0.053628178948978596,0.20576685792977767,0.05089807605111065,0.12969171472941515,0.19947019601788124,0.01168230192244748,0.02110730066164465,0.020342086468420634,0.2140788495201672,0.4579727399839781,0.6261807972995733,0.6878829119144102,0.06512065674065964,0.047991408487308165,-0.0017808739108372013,0.02246889547932552,0.056607838073074054,0.03633070264102103,0.04275389166682848,0.05200847302329412,0.01646696581980438,0.04391504122172294,-0.016850362297797444,0.01934471644886554,0.03637057230962795,0.020996445538075524,-0.011809918213436847,0.037166223836574044,-0.010456281251754676,0.044214507718241036,0.01339714630391365,-0.032607185310461945,-0.07542852047173548,0.059996962343306565,0.0003452216365098981,0.014278530013553259,0.050305332437120535,0.08877585005083649,0.1075693308656931,-0.0018304362775475739,-0.0021738664939715056,0.0009980747872001686,0.02969576850305994,0.03517330897714047,0.03041160609820489,0.0703684296812351
EA,0.23336448202773888,0.23516043817174087,0.19502261747845043,1.0,0.43437586657366384,0.18765782572433082,0.1436234110302846,0.1306231917157022,0.1958157282396487,0.20772011982321065,0.16727888153484707,0.20269085790864058,0.24965237511083088,0.1664251249087496,0.15032215745110492,0.19945033352021133,0.18798213830783114,0.13289724864684108,0.13395696095998802,0.19684655168317713,0.16455014021622125,0.14043814031924362,0.1632470268737606,0.18531493915398042,0.12884443517156,0.09920744852596848,0.04790209973467454,0.11820358944156834,0.12920248637669213,0.12051897374771559,0.09105646282855573,0.11200629964663747,0.18894513491836679,0.14136229907167808,0.19283594763655923,0.12105817580904671,0.27072772949768437,0.21040397073855832,0.2702277919528179,0.16676801179053924,0.202802193074158,0.2534390515230792,0.22417020080323768,0.2214379444255743,0.20698848976528672,0.11095071896508489,0.15096922125669407,0.15076636034287422,0.15890722338598265,0.20164559688730135,0.1863908868176979,0.1687959653892227,0.2210238444214545,0.17784622110972,0.1609297414912629,0.07641212836707986,0.18325789612666352,0.22767816698306195,0.19821445517723266,0.14631218994383394,0.17049299932274406,0.13739247813822733,0.1944813157366368,0.21466556156295696,0.23989355829936032,0.2487339610842841,0.1627979479257702,0.24414756215607267,0.25097613226945065,0.16465835827522324,0.2336504917068889,0.12072322314178591,0.2835539007349661,0.13172962318825737,0.2224411469590277,0.1625465055474451,0.2283927178866063,0.14071055665846155,0.16033273412189838,0.23752835397210206,0.11464616235767122,0.19968536058347874,0.21873911481486003,0.2183416274622771,0.22659281426215488,0.22758474005875534,0.19494504072175275,0.2082666585158179,0.17122474671356033,0.18009626985217403,0.18389701231626646,0.11828342411238167,0.15731759306849796,0.21595773441267638,0.14108905070793876,0.19143199733562188,0.17642800550796933,0.16365178059852767,0.1596952884306269,0.0946912221177134,0.11796696041428473,0.09906973298630026,0.05719163034154257,0.08401471911984702,0.09878825558042657,0.19730413410373734,0.3048400777282745,0.34249821070865594,0.3288212253187165,0.0779082712388084,0.05654336120131396,0.014443799393135483,0.03393976742703351,0.008466934702676024,0.05416392275664986,0.009621604473825257,0.009681796644359206,0.011638830959151096,0.03087273868311927,0.05445455490978878,0.02875566881755128,-0.01002776893638718,0.053873510749651445,0.02089398745424485,0.05126531895465407,0.03511630181149252,0.038359840569463025,-0.010621127936030093,-0.03403567683527174,-0.05642899690186729,0.02700315382683838,0.0353931041647937,0.02155125674164795,0.014917762650254983,0.022706817049401626,0.03299412579924249,0.025709305642152215,0.03300995616757545,-0.020379343405226003,0.01295570436362236,0.044759790739553454,0.004787728491026213,0.044908357800425465
TTWO,0.3326020473288326,0.3349637108221914,0.31862601242211164,0.43437586657366384,1.0,0.2589004268471527,0.22730735680316475,0.22849757667135906,0.3565328501631867,0.3450511911890431,0.2815419716181656,0.21361988733159107,0.17992382190044948,0.24267718179001968,0.2739969616785008,0.2706734307945194,0.2183298107506845,0.24974554684687683,0.06845086714560354,0.2458959513629519,0.06924409697397968,0.044802803351092074,0.1296874168184678,0.2636940694291265,0.025003414788639395,-0.015435488841843984,-0.04311057571611178,0.12126201491347417,0.13626595682706777,0.12504519316972712,0.11547073018388243,0.1167120210314478,0.19117826265164753,0.16987622285728846,0.1722137208171811,0.14353034933071412,0.21833623630169144,0.2574289790999917,0.3110801804263386,0.18600253554543153,0.3863188187482986,0.312064257512732,0.2948407334371193,0.23883159668339324,0.21692740199047467,0.09185302343144582,0.02105714380022151,0.026489006319693333,0.1223650306509655,0.259845480435807,0.19415073926667029,0.1715518789465098,0.24669992721868816,0.23112055749113974,0.19988408158195267,0.19915852218965682,0.23931666501579277,0.20588744467146078,0.20418684640408985,0.1980075643720145,0.21343565747203813,0.18312215270627036,0.1961176580424989,0.3247625657915464,0.318045425316013,0.35683294426941004,0.21713061715984375,0.217880577644578,0.2930342545691392,0.2515391182502224,0.2919786160705007,0.22717866315449795,0.23934681844627523,0.15578000098312086,0.28412949596381365,0.16842271491596275,0.24763387964872086,0.13939290535481155,0.1957864563137342,0.21696188646613496,0.16615688476088572,0.1307573645464968,0.2433025559830721,0.2298822393933019,0.21097554988096617,0.21968406123472287,0.15783623894610155,0.20701410738102866,0.2210079958693651,0.22312791614356606,0.15800770099947506,0.185380701924972,0.09015095759679989,0.1441070451026137,0.19481432790235037,0.07097991596882222,0.07329878004351682,0.08137502014153972,0.1850700568917138,0.10881566877231547,0.17248462463824896,0.16692768116335915,0.043135742415531385,0.057455749088179325,0.062129274541666335,0.18993277203908418,0.334899602094099,0.43015994383218065,0.4503393126965001,0.04641259293726807,0.011998824646599935,-0.028300864053470355,0.03457226282682612,0.040597007290008716,0.04174245145235913,0.011245940744060256,-0.001962260015197947,0.027831771615141162,0.017248745851175484,-0.05007935865151053,0.0025610054052090624,0.010652083844485235,0.012916671298282239,-0.013395220628683466,0.01132860444920403,0.0028456870398845973,0.019670597393342842,0.009304545371481218,-0.04429062019965212,0.05751055410694593,0.041791730879428564,-0.004232145652474906,0.02800450088448551,0.02304275415428933,0.02761128384047124,0.04479687727002444,-0.002065113344702673,-0.016389801605500073,0.015151732966849038,0.020602041336182122,0.027319267194515592,0.006204770117400608,0.027046234715181063
LYV,0.3535166018113245,0.35880366071850334,0.35160223587948414,0.18765782572433082,0.2589004268471527,1.0,0.26250879486454537,0.2300428214503961,0.3034000694834131,0.39763797731321165,0.35733023825907295,0.3486274111100109,0.3097394616466851,0.27472913468559,0.5150801812294437,0.5034955734076448,0.34558702768128047,0.49898755718636884,0.158041536325503,0.2740885546962622,0.09414821774659969,0.04830361456599373,0.2376129955190832,0.29591478051242687,0.14354751236480248,0.015817415444261945,-0.020521915699644833,0.1932267066250036,0.22247595595523348,0.22259745269242173,0.2517917959234201,0.2222347470342786,0.32177207451150763,0.18849706701800553,0.18113166376683582,0.2795979084439784,0.3453522392209872,0.39417131447066645,0.3966048946969939,0.41936507352399743,0.41865405405206546,0.36161633006387006,0.4019717275907259,0.18772484231159756,0.27115435357724765,0.10068481305635447,0.05069730592176632,0.09362898639434891,0.15625662310024577,0.2925124183251227,0.23942906627088517,0.23632049728343504,0.2998474632986624,0.2794077143832379,0.3221257126739022,0.29002180734535016,0.39333718274998397,0.29681156246713564,0.36691232030012993,0.3141197809658071,0.31498383081131526,0.3647175710367258,0.31037013035715355,0.37965575037226135,0.3804837126616238,0.3885119325694251,0.2851489252830944,0.31108424315877203,0.3527226246387083,0.3158398751038814,0.34573935782329274,0.2743782629020232,0.341979254321913,0.08574136092639471,0.3221821225728373,0.24672105767949784,0.3771189546677879,0.23432981841521808,0.2296096676407468,0.3600260740872093,0.23282460455193515,0.2950412082632934,0.34836268019468375,0.29484065592833864,0.31663621781057083,0.3162189270153613,0.2210685025680776,0.396936772033244,0.34129247987782324,0.2752729975346674,0.1334911246726005,0.20138729089813845,0.07442383029142198,0.22894427124252856,0.2413266097777494,0.1358394879497013,0.13726376686750266,0.12739487192384008,0.20164508877421786,0.042091609485836894,0.13250473374811303,0.18616654145162193,0.09637548710258091,0.019521796173164088,0.01856513464113125,0.17246698063049948,0.44851512859946707,0.5410982686694171,0.5165121399289286,0.04531692086908065,0.02263197343977511,0.031650969405452194,0.0974628966800124,0.04947850831289729,0.01780631619640853,0.035121170730661795,0.006063347538149468,0.03247854971082469,-0.018071457759471853,0.0155447943121223,-0.006981556323265972,0.06799609284655536,0.01174264194878361,0.035063053752545786,0.05245887168516695,0.05675516214542638,0.050113560385618816,0.03463403281033606,0.02059495112814229,-0.0230499626973404,0.05152452232128224,0.03616778708947908,0.058167607708075234,0.06516852885793935,0.06571508555576325,0.09492650632025325,-0.0008680655077636053,0.03853138654460581,0.04515970989391099,0.04540498062268361,0.01990974089467056,0.015757308804029695,0.08119793783108308
TKO,0.1742668327667923,0.17518424317545628,0.22009419520528722,0.1436234110302846,0.22730735680316475,0.26250879486454537,1.0,0.17688180190735261,0.16730308094763724,0.22684516292742782,0.14898746338388047,0.20205494079785796,0.15880208528828169,0.17226592468188182,0.2513529002021015,0.28650595748759067,0.18267674321157895,0.24469188546443593,0.10728837724137899,0.17080852840546454,0.10306017327296958,0.048804517606282946,0.15603571197115854,0.1603546596453281,0.09523253357004403,0.0391090993262314,0.01661464651450372,0.1340963821322573,0.126618236679948,0.14307499363790324,0.181534084138291,0.14895163854070825,0.2408590979484761,0.1936494704543988,0.17025194016830536,0.1863130620945815,0.22740329732000036,0.2469325298473946,0.23734783125806286,0.24523517216460836,0.24124988428288952,0.21078769872745337,0.277882770246381,0.1682552971934808,0.11099165327544734,0.10919468311294836,0.05043122923047361,0.10921741622016763,0.13496110419526244,0.1883787176334981,0.188008355897935,0.15168513874622608,0.19536730419413476,0.17612016824508786,0.21398120598578763,0.26775909035163226,0.2614620359253718,0.1760675964609009,0.2169169894710073,0.22273173155327453,0.21810841050135285,0.2031648024663556,0.18484279489920172,0.2088232516536923,0.23023423898581596,0.17360839739076797,0.16296470807550176,0.2034700882494732,0.22013601417208634,0.14142217800764723,0.20127854689090074,0.16112998371161527,0.1945406846652322,0.1194565169481824,0.29381353589091214,0.20292718261884968,0.22548740705664064,0.1923032171947387,0.14969189953208392,0.20254318076209177,0.20616718312975063,0.16474956038142352,0.23343495818274188,0.16564429084950463,0.19220158743094232,0.19423472555119684,0.11421471516972734,0.2425705506681305,0.23769090398999648,0.20416528199691314,0.11610714766354617,0.17286209732635732,0.08032348782814643,0.17807132290498132,0.2344227537396595,0.11240908405879967,0.12403819343060496,0.12311664823426556,0.13834395954968173,0.06488854230328557,0.1022426768124954,0.1866579173660109,0.03442047405441313,0.033846678083085946,0.03608869879772171,0.1282934495976063,0.28495749197013626,0.33266268259388965,0.29636213937754957,0.026420082000270042,0.018351422049645606,-0.012761887790965024,0.004273372984259699,0.03185667497445087,0.028270096066858312,0.02406969908313288,-0.008486759094789357,0.07279889579694804,-0.025957252461054278,0.011713794676044244,-0.023140203133456792,-0.0060504018142799425,0.0002659694902252148,-0.010416677917534456,0.04548634659975483,0.008520691624852757,0.029466790126754277,0.01609100510780763,0.002736846474978506,-0.06157656992191981,-0.024479071249892934,-0.0168288420098392,-0.006028258456758186,0.05106088319825481,-0.0038201491660982433,0.023524716040075368,-0.0058145520914422615,-0.021443515505357856,-0.01817688017621273,0.009415598060458658,0.014374423586743689,0.008822424558589292,0.02735216888460906
PSKY,0.18078949962909632,0.18646828857518558,0.2066466807928811,0.1306231917157022,0.22849757667135906,0.2300428214503961,0.17688180190735261,1.0,0.26712713618980083,0.19544423460806565,0.20008855949829005,0.22648678236694889,0.16253636238813937,0.25381577186612597,0.30538736328385235,0.3063286753019463,0.2796113209001594,0.28994382201306085,0.04512023654557811,0.11396539759637202,0.046211975063572254,0.06468655279585575,0.11848204972766778,0.19598781059137743,0.18330862435718645,0.11079349620987106,0.061431792761038294,0.17804908681175755,0.18117031548580786,0.14843501173198442,0.19271559629088927,0.17580969104521169,0.22273359036929424,0.14605990029590843,0.15048107011992062,0.17682190959591165,0.2859610798802471,0.22675109688134154,0.20951745633921526,0.337893626198972,0.3167517295798338,0.21634394191784495,0.31925635246558154,0.23931762777482862,0.1438743183522001,0.011499052608345927,0.11770110845090265,0.07308886598870579,0.18528004151199703,0.20733282319388008,0.13429370184734352,0.19622121121441335,0.25941902550738377,0.2086313814110534,0.2323001679805209,0.0009419939590311839,0.20517768126414754,0.15762605295837256,0.21038394633011612,0.21338214460808125,0.2959821091261134,0.24381681110144998,0.24070636640221105,0.1421824141800926,0.2306974558184684,0.14660725063931332,0.13296817662038163,0.0931183434951994,0.17901943039687399,0.22175447138226823,0.24975339121771797,0.20707600132665757,0.1547606717635095,0.11249372943120282,0.22777459438987066,0.2560275400911995,0.25480226640133824,0.24693344013137788,0.19044111794148888,0.24501838583866273,0.2397768163057768,0.1841675244710811,0.22878210618880332,0.11678418309540627,0.24779418899779673,0.23650358387911366,0.22965610541410986,0.30308381500788195,0.30612810140577906,0.2636808422840328,0.13755053408779816,0.05794343185902513,0.1427336080741993,0.1335342141101991,0.15167207087504675,0.13499464654324048,0.14812928030818687,0.1269960252754038,0.2188950264151951,0.07597456487424581,0.11994857857482924,0.11787623873438301,0.06812586507959377,0.035893640213041776,0.04805568598610398,0.14628313581221758,0.2935918947318822,0.3028493013882002,0.2676234892667576,0.0808908172844802,0.07776179737966074,-0.014231541994798192,0.04018811021161034,0.02995809655889541,0.030613300217699885,0.06431439165648842,0.0353169546997951,0.029575743038825684,-0.006748318675585643,-0.07062193294402902,-0.057100317464030534,0.01770984900236323,0.05676580961924237,0.01529431967775527,-0.009685000580384193,-0.009512138271672443,-0.004734525615997246,0.03539736090039494,0.01048573491694198,-0.013986365600483558,0.03315695298834297,0.0464594339107814,0.04168125240261611,0.055016991730239766,0.04552989453558337,0.03184524802105498,0.02945899326494005,0.05061869678554493,0.025837301985525463,0.0314294023022306,0.06760658662782704,0.10012927229154306,0.06422671856371186
TTD,0.39391787327321237,0.39818196840040887,0.43523980469830276,0.1958157282396487,0.3565328501631867,0.3034000694834131,0.16730308094763724,0.26712713618980083,1.0,0.4692767089826744,0.36216934088197655,0.29556554422681636,0.19101786970102103,0.2790760721409683,0.38570895474918343,0.31721044641235563,0.35159016778106045,0.37449661295084785,0.11752410337290216,0.26110333506182676,0.018744432692423263,-0.012878062474208429,0.15063044283192123,0.3134886604910441,0.012900293614122052,-0.022268500908348712,-0.027438246920926373,0.09003791053764804,0.11114402992589215,0.12108894198915844,0.14878970975402664,0.14088429193176685,0.22782644865706042,0.11523131243904079,0.166197837278681,0.18220062556160754,0.20843437486287947,0.2506124677732482,0.3170732749723376,0.2690982706813904,0.5146420352536664,0.38918236798284467,0.3436986464430138,0.20873620450204966,0.27187689440228685,0.12496495383305155,-0.04997837296113644,0.009428205550255824,0.105612573496419,0.3214031401911858,0.25408401106161915,0.15455677917304422,0.3462299158157479,0.3155514366980765,0.20816934177030832,0.20439829438543178,0.27112081020185397,0.25525873364664614,0.30159222957063075,0.29326198473964066,0.31270130083778663,0.32485562808027113,0.23670020028251607,0.4186188379897151,0.38978544393542686,0.4213198303439955,0.23087902507348296,0.24904814307752665,0.36158973379598014,0.33517299083825597,0.37952216443547293,0.3311932715627297,0.2706348371575658,0.03813844694859951,0.2789780640009036,0.22647973041765765,0.2889272235684332,0.20612276675584465,0.21855716769907568,0.28178703941335104,0.1559693782430627,0.12655827166980804,0.288177275924624,0.2953970538068323,0.2610091872333271,0.24933134506324425,0.1720684790155488,0.2507326801480771,0.2734179389765279,0.27019951554407856,0.13659887680674485,0.20740131165412995,0.010613514801539364,0.16967903333405962,0.18546549820021793,0.004802718826765794,0.011982902257545301,0.026139312177970213,0.2123884357790137,0.012055199537277827,0.0879041158312047,0.16290100899002108,0.07121796796027868,0.038987082981185604,0.03247395151467205,0.20489352532876542,0.4248911570402485,0.4994618964405453,0.546246317695258,0.07410915410194305,-0.0008324731062176676,-0.033039117577392293,0.03993294818869455,0.009619624404062905,0.02691825060156713,0.021259945871713617,-0.00018613536794976195,0.00689374888352208,0.020966761089380722,-0.003709459284609883,0.012956947401199232,0.02961512061167562,0.04772713219928484,0.011392680644519964,0.02713062515195069,0.008946314659217101,0.0228205672487374,0.016401387815680422,-0.01646311086767512,-0.015002945705121116,0.029274950322255418,0.00994262661728054,0.011709430321927417,0.030921660279803087,0.029144002227782573,0.044805743687281865,0.020751965797617854,0.027308040309031813,0.012456070556464386,0.023165080249372645,0.03241653531186146,0.012893442266883527,0.0419988833335396
AMZN,0.6175307371839388,0.621315532165442,0.5954107593627362,0.20772011982321065,0.3450511911890431,0.39763797731321165,0.22684516292742782,0.19544423460806565,0.4692767089826744,1.0,0.44056257629734696,0.4053986604969721,0.24093444998055255,0.3615066328804882,0.4277488531679488,0.4189866121934595,0.36550486932721205,0.3999739067030764,0.22294201530632157,0.39950391020373704,0.07823967797776442,-0.017904019524998382,0.187189318427385,0.34670774894315654,0.10979871263067993,-0.029478465223280802,-0.08343456595491723,0.10257878345330182,0.1641813758603876,0.15861067268096377,0.17603219446649856,0.1609006110782518,0.2552680367768609,0.14385525615146091,0.16431544313032898,0.20484513709491853,0.34069865045461256,0.3614954075757196,0.4038586988107399,0.33384790940502157,0.5353033041553563,0.43366232912795966,0.45966112355205263,0.196632573342923,0.2882295163945431,0.1600197160710955,0.003638046876298184,0.05369686872851551,0.15072642161113572,0.3983104195983251,0.24773610771575796,0.20506813258163245,0.36404083792109315,0.3469351752898662,0.3030400572709729,0.3837652204886609,0.3697100896676001,0.363284869459018,0.3945515474870735,0.40392407087662763,0.36872986686910497,0.3984122165621718,0.3042036992931082,0.5453126389062904,0.5420766901526278,0.6292027851057539,0.37649938199291766,0.3226872478831136,0.43984082944562386,0.3355724883275697,0.431353349873818,0.3505414584917116,0.3108352733938472,0.11631009350354415,0.36681448196070265,0.26848998275317393,0.37491625319340244,0.2528655846527276,0.27587812180656257,0.35321122863052623,0.18732343302739426,0.18119205606731562,0.37978950069579875,0.3424731920352604,0.3104890712684374,0.29149609788874503,0.16447320752109842,0.33793818995215297,0.32325995750862885,0.2948468758000122,0.19003986963760416,0.27162132350182144,0.0534787763106931,0.20451719678048916,0.2850563809341408,0.06896339894035834,0.07630482486810054,0.08145137547183107,0.26296456725311845,0.04776859336643909,0.16362108491400854,0.22473608530854453,0.053254085450990196,0.051927487113961286,0.06025810477547364,0.2622430904693803,0.5416087468441592,0.7120643818488067,0.767650155685683,0.07920426430184872,0.044950053722566524,0.03128851197559196,0.04312765134094467,0.04211957880078164,0.014496081405625685,0.040697404392396476,0.043627752628536916,0.010804485412212699,0.02542284004239807,-0.0007265060419547492,0.057553508545955305,0.041241323474859294,0.008068793790661043,0.02350143412906218,0.04128517517146686,0.028022412009027116,0.043238854478316366,0.0018102466013832739,-0.010982537398063957,-0.12293056679396942,0.037238560064364865,0.021379100962729297,0.04519534859110454,0.047963466015172075,0.0883904159256024,0.08731543271662413,0.033772945413470104,0.04481888418876394,0.0388166521650456,0.016169938822040462,0.020067572474453062,0.010595114705063044,0.07870346847430927
